"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 02:21:06 GMT 2023","Thu Feb 16 02:21:17 GMT 2023","11072","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:21:17 GMT 2023","Thu Feb 16 02:21:28 GMT 2023","11114","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:22:13 GMT 2023","Thu Feb 16 02:22:40 GMT 2023","26197","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:20:06 GMT 2023","Thu Feb 16 02:20:19 GMT 2023","12863","Surefire suite","Surefire test","tests.HomeSignUpTest","tests.HomeSignUpTest","testPrivacyPolicySignUpLinkNavigatesToPrivacyPolicyPage","testPrivacyPolicySignUpLinkNavigatesToPrivacyPolicyPage",""
"passed","Thu Feb 16 02:20:54 GMT 2023","Thu Feb 16 02:21:05 GMT 2023","11806","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:21:40 GMT 2023","Thu Feb 16 02:21:51 GMT 2023","10872","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:21:51 GMT 2023","Thu Feb 16 02:22:02 GMT 2023","11002","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:21:28 GMT 2023","Thu Feb 16 02:21:39 GMT 2023","11026","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:22:40 GMT 2023","Thu Feb 16 02:22:53 GMT 2023","13390","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignOut","testSignOut",""
"passed","Thu Feb 16 02:20:19 GMT 2023","Thu Feb 16 02:20:31 GMT 2023","11366","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testLogInWithInvalidPassword","testLogInWithInvalidPassword",""
"passed","Thu Feb 16 02:20:42 GMT 2023","Thu Feb 16 02:20:53 GMT 2023","11242","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Thu Feb 16 02:20:31 GMT 2023","Thu Feb 16 02:20:42 GMT 2023","10876","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testLogInWithPasswordIsCaseSensitive","testLogInWithPasswordIsCaseSensitive",""
"passed","Thu Feb 16 02:19:53 GMT 2023","Thu Feb 16 02:20:06 GMT 2023","12988","Surefire suite","Surefire test","tests.HomeSignUpTest","tests.HomeSignUpTest","testErrorMessageWhenCreatingNewAccountWithoutCaptcha","testErrorMessageWhenCreatingNewAccountWithoutCaptcha",""
"passed","Thu Feb 16 02:22:02 GMT 2023","Thu Feb 16 02:22:13 GMT 2023","11066","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
